Citation	Brief URL	Context	Verification Source	Confidence	Explanation
10 U.S.C. 1448 (2018 & Supp. IV 2022)	https://www.justice.gov/osg/media/1389196/dl?inline	............... .... 9  10 U.S.C. 1413a(h) (Supp. IV 2022)  ................................ ..... 10  10 U.S.C. 1414  ................................ ................................ ..........  4  10 U.S.C. 1448 (2018 & Supp. IV 2022)  ...............................  11  10 U.S.C. 1451 (2018 & Supp. IV 2022)  ...............................  11  10 U.S.C. 2771(a)  ................................ ................................ 	Google Scholar	0.6	Citation found on Google Scholar: New York State Rifle & Pistol Assn, Inc. v. Bruen
10 U.S.C. 1451 (2018 & Supp. IV 2022)	https://www.justice.gov/osg/media/1389196/dl?inline	................ ..... 10  10 U.S.C. 1414  ................................ ................................ ..........  4  10 U.S.C. 1448 (2018 & Supp. IV 2022)  ...............................  11  10 U.S.C. 1451 (2018 & Supp. IV 2022)  ...............................  11  10 U.S.C. 2771(a)  ................................ ................................ ... 15  10 U.S.C. 4712(g) (1994)  ................................ .........	Google Scholar	0.6	Citation found on Google Scholar: United States v. Lopez
10 U.S.C. 12731 (2018 & Supp. IV 2022)	https://www.justice.gov/osg/media/1389196/dl?inline	...... ... 15  10 U.S.C. 4712(g) (1994)  ................................ ........................  15  10 U.S.C. 7712  ................................ ................................ ........  15  10 U.S.C. 12731 (2018 & Supp. IV 2022)  .............................  11  10 U.S.C. 12739  ................................ ................................ ...... 11  28 U.S.C. 2401(b)  ................................ .................	Google Scholar	0.6	Citation found on Google Scholar: Campbell v. Acuff-Rose Music, Inc.
1998 WL 864012 (10th Cir. Dec. 14, 1998)	https://www.justice.gov/osg/media/1389206/dl?inline	......... ...... 8  Steel Co.  v. Citizens for a Better Env’t ,   523 U.S. 83 (1998)  ................................ ...............................  13  United States v. Marshall , 166 F.3d 349,   1998 WL 864012 (10th Cir. Dec. 14, 1998),   cert. denied, 528 U.S. 861 (1999)  ................................ ....... 13  United States  v. Withers , 638 F.3d 1055   (9th Cir. 2011)  ................................ ......................	Google Scholar	0.6	Citation found on Google Scholar: Acevedo v. Superintendent
2024 WL 4529808 (Oct. 21, 2024)	https://www.justice.gov/osg/media/1389201/dl?inline	munity Fin. Servs. Ass’n of Am., Ltd.   v. CFPB , 51 F.4th 616 (5th Cir. 2022),   rev’d on other grounds, 601 U.S. 416 (2024)  ....................  18  Consumers’ Research  v. CPSC :   No. 23 -1323, 2024 WL 4529808 (Oct. 21, 2024)  ...............  6  IV   Cases —Continued:  Page   98 F.4th 646 (5th Cir. 2024), cert. denied,   No. 23 -1323, 2024 WL 4529808 (Oct. 21, 2024)  ....... 16  Free Enter prise  Fund v. Public Co. Accou	Google Scholar	0.6	Citation found on Google Scholar: Green v. Thomas
2021 WL 1061528 (D.D.C. Mar. 18, 2021)	https://www.justice.gov/osg/media/1390126/dl?inline	p. 3d 155 (D.D.C. 2017); Powell v. IRS, No. 17 -cv-278, 2019 WL  4247246 (D.D.C. Sept. 6, 2019); Powell v. IRS, No. 18 -cv-453, 2019  WL 1980973 (D.D.C. May 3, 2019); Powell v. IRS, No. 18 -cv-2675,  2021 WL 1061528 (D.D.C. Mar. 18, 2021); Powell v. IRS, No. 21 -cv- 2838, 2022 WL 4009971 (D.D.C. Aug. 29, 2022), aff ’d, No. 22 -5232,  2023 WL 3729964 (D.C. Cir. May 31, 2023).   5   Act framework .”  Ibid. (brackets and citation omitted	Google Scholar	0.6	Citation found on Google Scholar: Powell v. Yellen
2023 WL 3584466 (S.D.N.Y. May 19, 2023)	https://www.justice.gov/osg/media/1390146/dl?inline	.......  15  United States v. Cole , No. 20 -cr-424, 2022 WL 278960  (N.D. Ohio Jan. 31, 2022)  ................................ ...................  13  United States  v. Colello , No. 20 -cr-613,   2023 WL 3584466 (S.D.N.Y. May 19, 2023)  ......................  15  United States  v. Donziger , No. 19 -cr-561,   2020 WL 5152162 (S.D.N.Y. Aug. 31, 2020)  .....................  13  United States  v. Gigante , 166 F.3d 75 (2d Cir. 1999)	Google Scholar	0.6	Citation found on Google Scholar: United States v. Rossy
2023 WL 4145321 (6th Cir. June 23, 2023)	https://www.justice.gov/osg/media/1391561/dl?inline	ed into    18 U.S.C. 924(c) that would be at risk    of exclusion  ................................ ...................  11a  TABLE OF AUTHORITIES   Cases:    Allen v. United States , No. 21 -5782,   2023 WL 4145321 (6th Cir. June 23, 2023),   petition for cert . pending, No. 23 -918   (filed Feb. 22, 2024)  ................................ ............................  42  Association for Molecular Pathology  v.   Myriad Genetics, Inc.	Google Scholar	0.6	Citation found on Google Scholar: Douglas v. United States
18 U.S.C. 1114 ( 1982 & Supp. II 1984)	https://www.justice.gov/osg/media/1391561/dl?inline	 It is of two kinds:     Voluntary —Upon a sudden quarrel or heat of pas- sion.    *  *  *  *  *    Whoever is guilty of voluntary manslaughter, shall  be imprisoned not more than ten years[.]     4. 18 U.S.C. 1114 ( 1982 & Supp. II 1984) :    Whoever kills or attempts to kill [various officers  and employees of the United States]  *  * *  engaged  in or on account of the performance of his official duties   * * *  shall be punished  	Google Scholar	0.6	Citation found on Google Scholar: Inwood Laboratories, Inc. v. Ives Laboratories, Inc.
2024 WL 195468 (D.N.J. Jan. 18, 2024)	https://www.justice.gov/osg/media/1360236/dl?inline	S. 1032 (2011)  ...........  9  United States  v. Swartz Family Trust ,   67 F.4th 505 (2d Cir. 2023)  ................................ .................  16  United States  v. Sze, No. 22 -cr-141,   2024 WL 195468 (D.N.J. Jan. 18, 2024)  ............................  17  United States  v. Welch , No. 20 -cr-52,   2023 WL 7020377 (D. Idaho Oct. 25, 2023),   appeal pending, No. 23 -3309   (9th Cir. filed Nov. 3, 2023)  ...............	Google Scholar	0.6	Citation found on Google Scholar: Meyer v. Nebraska
2023 WL 7020377 (D. Idaho Oct. 25, 2023)	https://www.justice.gov/osg/media/1360236/dl?inline	................... .................  16  United States  v. Sze, No. 22 -cr-141,   2024 WL 195468 (D.N.J. Jan. 18, 2024)  ............................  17  United States  v. Welch , No. 20 -cr-52,   2023 WL 7020377 (D. Idaho Oct. 25, 2023),   appeal pending, No. 23 -3309   (9th Cir. filed Nov. 3, 2023)  ................................ ................  17  Constitution, statutes, and rules:  U.S. Const. Art. III  .....................	Google Scholar	0.6	Citation found on Google Scholar: United States v. Kinzel
2024 WL 779604 (N.D. Cal. Feb. 26, 2024)	https://www.justice.gov/osg/media/1357511/dl?inline	U.S. 224 (1998) ................................ ..............................  46  Barrett  v. United States , 423 U.S. 212 (1976)  .....................  42  California  v. ATF , No. 20-cv-6761,   2024 WL 779604 (N.D. Cal. Feb. 26, 2024)  .......................  11  District of Columbia v. Heller ,   554 U.S. 570 (2008) ................................ ........................  11, 46   Encino Motorcars, LLC v. Navarro ,   584 U.S. 	Google Scholar	0.6	Citation found on Google Scholar: New York v. ARM OR ALLY, LLC
2024 WL 1108700 (5th Cir. Mar. 14,  2024)	https://www.justice.gov/osg/media/1357366/dl?inline	ty to  store nuclear waste  temporarily in Andrews County, Texas.   See Texas v.   Nuclear Regul. Comm’n , 78 F.4th 827, 833 –35 (5th Cir.  2023) [hereinafter  Texas v. NRC ], reh’g en banc denied ,  2024 WL 1108700 (5th Cir. Mar. 14,  2024).  Texas,  Fasken Land and Minerals, Ltd., (Fasken), and Per-   *  This opinion is not designated for publication.  See 5th Cir. R.  47.5.   2a   mian Basin  Land and Royalty Owners (PBLRO) peti- tion	Google Scholar	0.8	Citation found on Google Scholar: FASKEN LAND AND MINERALS, LIMITED v. Nuclear Regulatory Commission
2024 WL 1108700 (5th Cir. Mar. 14, 2024)	https://www.justice.gov/osg/media/1357366/dl?inline	 Id. at 844.   The NRC filed a  petition for rehearing en banc on October 24, 2023,  which  this court denied on March 14, 2024.  See Texas  v. Nuclear Regul. Comm’n , No. 21 -60743, --- F.4th ----,  2024 WL 1108700 (5th Cir. Mar. 14, 2024).   Shortly before the panel issued its opinion in Texas  v. NRC , Fasken  and PBLRO filed the petition for review  at issue in this case.  They challenge  a different license  issued by the NRC in Ma	Google Scholar	0.8	Citation found on Google Scholar: FASKEN LAND AND MINERALS, LIMITED v. Nuclear Regulatory Commission
2023 WL 395030 (Jan.  25, 2023)	https://www.justice.gov/osg/media/1357361/dl?inline	were   denied intervention in the agency adjudication  had a pe- tition for review pending before the D.C. Circuit appeal- ing the denials  of their intervention.  See Don’t Waste   Michigan v. NRC , 2023 WL 395030 (Jan.  25, 2023).   The petition was denied in January  2023.  Id. at *1.   Interim Storage Partners,  LLC intervened in this case  to represent  its interests.   II.  We begin with jurisdiction.   The Commission  ch	Google Scholar	0.6	Citation found on Google Scholar: Texas v. NUCLEAR REGULATORY COM'N
2023 WL 2755656 (6th Cir. Apr. 3, 2023)	https://www.justice.gov/osg/media/1357066/dl?inline	,   54 F.4th 884 (6th Cir. 2022)  ................................ .............  8, 9  United States v. Keene , 955 F.3d 391 (4th Cir. 2020)  ..........  3  United States v. Martin , No. 22 -5278,   2023 WL 2755656 (6th Cir. Apr. 3, 2023),   cert. denied, 144 S. Ct. 156 (2023)  ................................ ....... 8  United States  v. Mayo , 901 F.3d 218 (3d. Cir. 2018)  .........  10  United States  v. Olano , 507 U.S. 725 (1993)	Google Scholar	0.6	Citation found on Google Scholar: United States v. Parham
2024 WL 807436 (2d Cir. Feb. 27, 2024)	https://www.justice.gov/osg/media/1358101/dl?inline	.  10  Pilica  v. Ashcroft , 388 F.3d 941 (6th Cir. 2004)  ..................  15  Sanusi  v. Gonzales , 445 F.3d 193 (2d Cir. 2006)  ................  16  Toxtega -Olin  v. Garland , No. 22 -6537,   2024 WL 807436 (2d Cir. Feb. 27, 2024)  ...........................  17  Trejo -Gamez v. Garland , 81 F.4th 817 (8th Cir. 2023)  ...... 16  Wisniewski v. United States , 353 U.S. 901 (1957)  .............  16    IV   Statutes, regulations	Google Scholar	0.6	Citation found on Google Scholar: Agard v. Garland
2023 WL 3674377 ( D.C. May 25, 2023)	https://www.justice.gov/osg/media/1357041/dl?inline	r  v. Maryland , 141 S. Ct. 5 (2020)  ................................  21  Kyles v. Whitley , 514 U.S. 419 (1995)  ................................ .. 13  Moore v. United States , No. 19 -CF-0687,   2023 WL 3674377 ( D.C. May 25, 2023)  .............................  16  Orduno -Ramirez  v. United States ,  144 S. Ct. 388 (2023)  ................................ ...........................  17  Public Def. Serv. , In re , 831 A.2d 	Google Scholar	0.6	Citation found on Google Scholar: Moore v. United States
2021 WL 3609986 (D.D.C. Apr. 4, 2021)	https://www.justice.gov/osg/media/1358091/dl?inline	.........  19  Barton  v. Barr , 590 U.S. 222 (2020)  ................................ ....... 2  Catholic Legal Immigration Network, Inc.  v. Execu- tive Office for Immigration Review , No. 21 -94,  2021 WL 3609986 (D.D.C. Apr. 4, 2021)  .............................  7  Centro Legal de la Raza  v. Executive   Office for Immigration Review ,   524 F. Supp. 3d 919 (N.D. Cal. 2021)  ................................ .. 7  Church of Sci	Google Scholar	0.6	Citation found on Google Scholar: Bravo-Bravo v. Garland
2022 WL 2072735 (9th Cir. June 9, 2022)	https://www.justice.gov/osg/media/1357081/dl?inline	9, 12, 15   FTC v. Amy Travel Serv., Inc. ,  875 F.2d 564 (7th Cir.),   cert. denied, 493 U.S. 954 (1989)  ................................ .........  4  FTC v. Elegant Sols., Inc. , No. 20 -55766,   2022 WL 2072735 (9th Cir. June 9, 2022)  .........................  13  FTC v. Figgie Int’l , Inc.,  994 F.2d 595 (9th Cir. 1993),   cert. denied, 510 U.S. 1110 (1994)  ...........................  9, 13, 14   FTC v. Gem Merchandising Corp	Google Scholar	0.6	Citation found on Google Scholar: FTC v. Kochava Inc.
2023 WL 6036237 (released Sept. 13, 2023)	https://www.justice.gov/osg/media/1351656/dl?inline	..  16  Sections 54.801 -54.1515  ................................ .....................  3  Miscellaneous:   FCC:   Proposed Fourth Quarter 2023 Universal Service  Contribution Factor , DA 23 -843,  2023 WL 6036237 (released Sept. 13, 2023)  ............  17      VI   Miscellaneous —Continued:  Page   Proposed Third Quarter 2023 Universal   Service Contribution Factor , DA 23 -507,  2023 WL 4012359 (released June 14, 2023)  ............	Google Scholar	0.6	Citation found on Google Scholar: CONSUMERS'RESEARCH, CAUSE BASED COMMERCE v. FCC
2023 WL 4012359 (released June 14, 2023)	https://www.justice.gov/osg/media/1351656/dl?inline	DA 23 -843,  2023 WL 6036237 (released Sept. 13, 2023)  ............  17      VI   Miscellaneous —Continued:  Page   Proposed Third Quarter 2023 Universal   Service Contribution Factor , DA 23 -507,  2023 WL 4012359 (released June 14, 2023)  .............  17  Revised Second Quarter 2003 Universal   Service Contribution Factor ,   18 FCC Rcd 5097 (released Mar. 21, 2003)  .............  17          (1) In the Supreme Court of the United	Google Scholar	0.6	Citation found on Google Scholar: CONSUMERS'RESEARCH, CAUSE BASED COMMERCE v. FCC
2023 WL 2733500 (10th Cir. Mar. 31, 2023)	https://www.justice.gov/osg/media/1351651/dl?inline	..................... ...........  12  FTC v. Pukke , 53 F.4th 80 (4th Cir. 2022),    cert. denied, 144 S. Ct. 73 (2023)  .................... 7, 9, 11, 13, 14   FTC  v. Zurixx, LLC , No. 22 -4042,   2023 WL 2733500 (10th Cir. Mar. 31, 2023)  .....................  15  Gonzalez  v. Crosby , 545 U.S. 524 (2005) ................................  6  Goodyear Tire & Rubber Co.  v. Haeger ,   581 U.S. 101 (2017) ..............................	Google Scholar	0.6	Citation found on Google Scholar: Coomer v. MAKE YOUR LIFE EPIC LLC
